[{'name': 'A', 'gender': 'M', 'en': 11100, 'locker_id': 24}
, {'name': 'B', 'gender': 'F', 'en': 11101, 'locker_id': 23}
, {'name': 'C', 'gender': 'M', 'en': 11102, 'locker_id': 27}
, {'name': 'D', 'gender': 'F', 'en': 11103, 'locker_id': 9}
, {'name': 'E', 'gender': 'M', 'en': 11104, 'locker_id': 7}
, {'name': 'F', 'gender': 'F', 'en': 11105, 'locker_id': 29}
, {'name': 'G', 'gender': 'M', 'en': 11106, 'locker_id': 10}
, {'name': 'H', 'gender': 'F', 'en': 11107, 'locker_id': 17}
, {'name': 'I', 'gender': 'M', 'en': 11108, 'locker_id': 26}
, {'name': 'J', 'gender': 'F', 'en': 11109, 'locker_id': 19}
, {'name': 'K', 'gender': 'M', 'en': 11110, 'locker_id': 28}
, {'name': 'L', 'gender': 'F', 'en': 11111, 'locker_id': 30}
, {'name': 'M', 'gender': 'M', 'en': 11112, 'locker_id': 21}
, {'name': 'N', 'gender': 'F', 'en': 11113, 'locker_id': 12}
, {'name': 'O', 'gender': 'M', 'en': 11114, 'locker_id': 13}
, {'name': 'P', 'gender': 'F', 'en': 11115, 'locker_id': 29}
, {'name': 'Q', 'gender': 'M', 'en': 11116, 'locker_id': 14}
, {'name': 'R', 'gender': 'F', 'en': 11117, 'locker_id': 5}
, {'name': 'S', 'gender': 'M', 'en': 11118, 'locker_id': 11}
, {'name': 'T', 'gender': 'F', 'en': 11119, 'locker_id': 3}
, {'name': 'U', 'gender': 'M', 'en': 11120, 'locker_id': 18}
, {'name': 'V', 'gender': 'F', 'en': 11121, 'locker_id': 12}
, {'name': 'W', 'gender': 'M', 'en': 11122, 'locker_id': 13}
, {'name': 'X', 'gender': 'F', 'en': 11123, 'locker_id': 23}
, {'name': 'Y', 'gender': 'M', 'en': 11124, 'locker_id': 16}
, {'name': 'Z', 'gender': 'F', 'en': 11125, 'locker_id': 8}
, {'name': '[', 'gender': 'M', 'en': 11126, 'locker_id': 26}
, {'name': '!', 'gender': 'F', 'en': 11127, 'locker_id': 1}
, {'name': ']', 'gender': 'M', 'en': 11128, 'locker_id': 18}
, {'name': '^', 'gender': 'F', 'en': 11129, 'locker_id': 30}
, {'name': '_', 'gender': 'M', 'en': 11130, 'locker_id': 25}
, {'name': '`', 'gender': 'F', 'en': 11131, 'locker_id': 1}
, {'name': 'a', 'gender': 'M', 'en': 11132, 'locker_id': 20}
, {'name': 'b', 'gender': 'F', 'en': 11133, 'locker_id': 2}
, {'name': 'c', 'gender': 'M', 'en': 11134, 'locker_id': 15}
, {'name': 'd', 'gender': 'F', 'en': 11135, 'locker_id': 4}
, {'name': 'e', 'gender': 'M', 'en': 11136, 'locker_id': 10}
, {'name': 'f', 'gender': 'F', 'en': 11137, 'locker_id': 19}
, {'name': 'g', 'gender': 'M', 'en': 11138, 'locker_id': 21}
, {'name': 'h', 'gender': 'F', 'en': 11139, 'locker_id': 6}
, {'name': 'i', 'gender': 'M', 'en': 11140, 'locker_id': 20}
, {'name': 'j', 'gender': 'F', 'en': 11141, 'locker_id': 8}
, {'name': 'k', 'gender': 'M', 'en': 11142, 'locker_id': 7}
, {'name': 'l', 'gender': 'F', 'en': 11143, 'locker_id': 17}
, {'name': 'm', 'gender': 'M', 'en': 11144, 'locker_id': 15}
, {'name': 'n', 'gender': 'F', 'en': 11145, 'locker_id': 6}
, {'name': 'o', 'gender': 'M', 'en': 11146, 'locker_id': 25}
, {'name': 'p', 'gender': 'F', 'en': 11147, 'locker_id': 9}
, {'name': 'q', 'gender': 'M', 'en': 11148, 'locker_id': 27}
, {'name': 'r', 'gender': 'F', 'en': 11149, 'locker_id': 3}
, {'name': 's', 'gender': 'M', 'en': 11150, 'locker_id': 28}]
